name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-1,49.0,6.1,370.0,1410.0,145.0,101.0,15.0,900.0,131.0,13.0,72.0,-9.6,-76.0,220.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-2,56.0,6.2,444.0,2120.0,104.0,123.0,21.0,1230.0,141.0,17.0,64.0,-9.2,-76.0,209.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-3,48.5,6.7,440.0,808.0,91.0,13.0,7.9,580.0,62.0,7.4,72.0,-10.2,-77.0,212.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-4,45.0,6.4,400.0,1110.0,89.0,43.0,11.0,690.0,75.0,9.2,75.0,-9.9,-77.0,205.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-5,41.0,6.1,432.0,2000.0,63.0,88.0,22.0,1120.0,129.0,16.0,75.0,-8.9,-77.0,211.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-6,42.0,6.1,426.0,2220.0,80.0,108.0,22.0,1260.0,137.0,17.0,75.0,-9.1,-77.0,208.0
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-7,39.0,6.0,418.0,2000.0,71.0,96.0,19.0,1110.0,123.0,15.0,73.0,-9.2,-76.0,207.0
Mina Betty,Thermal spring,Tuzgle-Tocomar,M-Be-15,21.0,7.8,182.0,388.6,46.6,55.3,16.5,221.4,26.7,2.06,58.2,-8.9,-77.0,186.0
Mina Betty,Thermal spring,Tuzgle-Tocomar,MB,20.0,6.7,162.0,347.0,34.0,53.0,15.0,180.0,23.0,2.1,64.0,-8.9,-77.0,186.0
Laguna La Quinta,Thermal spring,Laguna La Quinta,Q1,53.0,7.0,909.0,6250.0,1240.0,302.0,55.0,4400.0,310.0,7.0,1240.0,-6.6,-43.0,196.0
El Idolo (P7),Thermal spring,El Palmar,P7,51.0,7.1,1110.0,553.0,1080.0,141.0,33.0,1030.0,73.0,3.2,87.0,-7.5,-44.0,177.0
El Idolo (P8),Thermal spring,El Palmar,P8,49.0,7.2,1120.0,563.0,1060.0,141.0,33.0,1030.0,58.0,3.2,86.0,-7.2,-44.0,165.0
El Idolo (P9),Thermal spring,El Palmar,P9,48.0,7.1,1110.0,572.0,1090.0,141.0,33.0,1030.0,63.0,3.3,84.0,-7.4,-42.0,168.0
Fuente Roja (P3),Thermal spring,El Palmar,P3,42.0,6.7,6.7,458.0,939.0,135.0,34.0,860.0,55.0,2.6,72.0,-7.4,-43.0,169.0
Fuente Verde (P5),Thermal spring,El Palmar,P5,45.0,7.1,7.1,563.0,1020.0,135.0,32.0,1000.0,58.0,3.2,90.0,-7.4,-44.0,166.0
Fuente Verde (P6),Thermal spring,El Palmar,P6,45.0,7.2,7.2,553.0,1010.0,135.0,32.0,1000.0,53.0,3.2,85.0,-7.5,-45.0,162.0
Baños Troncoso,Thermal spring,Laguna El Maule,TR,32.2,7.72,9.2,181.0,1482.0,589.3,0.82,128.0,2.49,483.0,28.0,-8.9,-77.0,192.0
Baños Campanario,Bubbling pool,Laguna El Maule,CA,52.6,6.02,501.3,10691.0,621.0,1809.0,80.1,5125.0,330.0,7023.0,76.0,-8.9,-77.0,120.0
Cajón Grande,Thermal spring,Laguna El Maule,CG,53.1,6.44,354.7,14114.0,1598.0,695.0,120.0,10250.0,156.0,1449.0,110.0,-14.7,-108.9,120.0
Guanaco,Thermal spring,Laguna El Maule,GU,29.2,6.8,263.1,3216.0,2288.0,578.0,73.9,2700.0,47.0,826.0,23.3,-15.4,-112.8,120.0
Planchón Peteroa,Thermal spring,Planchón Peteroa,17,24.0,6.95,564.4,8389.9,1177.2,767.9,25.0,3698.0,728.7,3.2,32.1,-13.3,-96.8,293.0
Planchón Peteroa,Thermal spring,Planchón Peteroa,36,54.5,6.78,518.0,11950.5,628.7,1818.0,98.3,5391.0,328.3,6.7,71.5,-13.6,-100.6,195.6
Planchón Peteroa,Thermal spring,Planchón Peteroa,39,33.7,9.44,5.5,53.1,151.5,29.8,0.03,57.3,1.3,0.1,30.0,-9.0,-58.6,136.9
El Tatio (Chile),Thermal spring,El Tatio,227,85.0,7.4,45.0,8220.0,38.0,280.0,3.7,4600.0,520.0,47.0,256.0,-5.5,-69.0,227.0
