name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Aguas Calientes salida,Thermal spring,Domuyo,D8,46.000,7.830,166.000,920.000,112.000,40.000,2.800,705.000,46.000,6.000,180.000,14.7,115,201.000
Las Papas,Bubbling pool,Domuyo,D9b,40.000,6.070,1280.000,2330.000,126.000,271.000,56.000,1690.000,107.000,11.000,123.000,14,118,198.000
Manchana Covunco,Creek,Domuyo,D10,28.000,8.770,137.000,800.000,275.000,104.000,5.200,590.000,63.000,5.000,121.000,14.3,114,238.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM1,52.300,6.420,827.000,900.000,217.000,37.000,6.500,952.000,98.000,12.000,155.000,9.5,81.5,235.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM2,44.100,6.090,751.000,900.000,222.000,35.000,2.600,923.000,87.000,12.000,160.000,9.6,82.8,228.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM3,38.800,6.870,824.000,906.000,217.000,44.000,5.000,924.000,91.000,12.000,167.000,9.6,80.9,231.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM4,70.200,6.510,769.000,879.000,212.000,34.000,5.000,854.000,78.000,11.000,141.000,9.6,81.3,225.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM5,30.300,5.840,776.000,852.000,207.000,33.000,4.000,892.000,84.000,11.000,135.000,10.2,84.2,228.000
Tocomar,Thermal spring,Tuzgle-Tocomar,TCM6,47.200,6.430,732.000,624.000,244.000,46.000,6.000,742.000,66.000,7.160,167.000,9.7,82,223.000
Rosario Coyaguayma 1,Thermal spring,Puna Plateau (N)-Pairique,RC1,59.800,6.740,1300.000,4020.000,463.000,183.000,33.000,3190.000,209.000,29.000,169.000,3.2,74,198.000
Rosario Coyaguayma 2,Thermal spring,Puna Plateau (N)-Pairique,RC2,58.600,6.700,1290.000,3670.000,399.000,163.000,31.000,3014.000,191.000,26.000,156.000,3.5,71,201.000
Rosario Coyaguayma 3,Thermal spring,Puna Plateau (N)-Pairique,RC3,62.400,6.640,1250.000,3930.000,430.000,181.000,32.000,3150.000,215.000,29.000,158.000,2.9,69,204.000
Pairique 1,Thermal spring,Puna Plateau (N)-Pairique,P1,44.200,7.100,643.000,345.000,126.000,11.000,5.000,499.000,9.100,0.490,109.000,8.9,61,121.000
Pairique 2,Thermal spring,Puna Plateau (N)-Pairique,P2,43.500,7.020,572.000,352.000,121.000,11.000,5.000,478.000,8.000,0.470,111.000,9.5,65,125.000
